Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Date L-1 Generated,WRS Path,WRS Row,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec
LE07_L1TP_090084_20060322_20170110_01_T1,LE70900842006081ASA00,2006/03/22,T1,2017/01/10, 090, 084,-34.61451,149.81444,-33.64397,149.01534,-33.94309,151.07489,-35.26947,148.5347,-35.57462,150.63567
LE07_L1TP_090084_20060407_20170110_01_T1,LE70900842006097ASN00,2006/04/07,T1,2017/01/10, 090, 084,-34.6468,149.7365,-33.6785,148.9368,-33.9781,150.9977,-35.3039,148.4551,-35.6096,150.5575
LT05_L1TP_090084_20060415_20161122_01_T1,LT50900842006105ASA00,2006/04/15,T1,2016/11/22, 090, 084,-34.60473,149.80651,-33.66743,149.0456,-33.95384,151.01409,-35.24453,148.58104,-35.53629,150.58583
LE07_L1TP_090084_20060423_20170109_01_T1,LE70900842006113ASN00,2006/04/23,T1,2017/01/09, 090, 084,-34.6497,149.746,-33.6805,148.9462,-33.9797,151.0077,-35.3059,148.4651,-35.6113,150.568
LT05_L1TP_090084_20060501_20161122_01_T1,LT50900842006121ASA00,2006/05/01,T1,2016/11/22, 090, 084,-34.6106,149.80683,-33.67329,149.04588,-33.95972,151.0145,-35.25038,148.58127,-35.54216,150.58619
LE07_L1TP_090084_20060509_20170109_01_T1,LE70900842006129ASN00,2006/05/09,T1,2017/01/09, 090, 084,-34.6498,149.7303,-33.683,148.9301,-33.9818,150.9912,-35.3087,148.4504,-35.6135,150.553
LT05_L1TP_090084_20060517_20161122_01_T1,LT50900842006137ASA01,2006/05/17,T1,2016/11/22, 090, 084,-34.60851,149.81698,-33.6712,149.05604,-33.95762,151.02462,-35.2483,148.59145,-35.54007,150.59633
LE07_L1TP_090084_20060525_20170108_01_T1,LE70900842006145ASA00,2006/05/25,T1,2017/01/08, 090, 084,-34.61515,149.79918,-33.6443,148.99884,-33.943,151.05829,-35.27093,148.52013,-35.57571,150.62096
LT05_L1TP_090084_20060602_20161121_01_T1,LT50900842006153ASA00,2006/06/02,T1,2016/11/21, 090, 084,-34.61277,149.81396,-33.67546,149.05299,-33.96189,151.02166,-35.25255,148.58836,-35.54434,150.59334
LE07_L1GT_090084_20060610_20170108_01_T2,LE70900842006161ASA01,2006/06/10,T2,2017/01/08, 090, 084,-34.61532,149.79881,-33.6479,148.99951,-33.94649,151.05849,-35.27385,148.5184,-35.57858,150.61874
LT05_L1TP_090084_20060618_20161121_01_T1,LT50900842006169ASA02,2006/06/18,T1,2016/11/21, 090, 084,-34.60597,149.81193,-33.66867,149.05101,-33.95508,151.01953,-35.24576,148.58644,-35.53753,150.59126
LE07_L1TP_090084_20060626_20170108_01_T1,LE70900842006177ASN00,2006/06/26,T1,2017/01/08, 090, 084,-34.6355,149.7457,-33.6672,148.9446,-33.9649,151.0043,-35.2941,148.4664,-35.5977,150.5676
LT05_L1TP_090084_20060704_20161120_01_T1,LT50900842006185ASA00,2006/07/04,T1,2016/11/20, 090, 084,-34.61035,149.80553,-33.67304,149.04458,-33.95947,151.0132,-35.25013,148.57997,-35.54191,150.58489
LE07_L1TP_090084_20060712_20170109_01_T1,LE70900842006193ASN00,2006/07/12,T1,2017/01/09, 090, 084,-34.6266,149.7642,-33.6582,148.9633,-33.9557,151.0235,-35.285,148.4844,-35.5886,150.586
LT05_L1TP_090084_20060720_20161120_01_T1,LT50900842006201ASA00,2006/07/20,T1,2016/11/20, 090, 084,-34.60459,149.80683,-33.66729,149.04592,-33.9537,151.01441,-35.24439,148.58136,-35.53615,150.58615
LE07_L1TP_090084_20060728_20170109_01_T1,LE70900842006209ASN00,2006/07/28,T1,2017/01/09, 090, 084,-34.6174,149.7798,-33.65,148.9782,-33.9475,151.039,-35.2771,148.4991,-35.5807,150.6014
LT05_L1TP_090084_20060805_20161119_01_T1,LT50900842006217ASA00,2006/08/05,T1,2016/11/19, 090, 084,-34.61007,149.80541,-33.67276,149.04446,-33.95919,151.01307,-35.24986,148.57986,-35.54163,150.58477
LE07_L1TP_090084_20060813_20170109_01_T1,LE70900842006225ASN00,2006/08/13,T1,2017/01/09, 090, 084,-34.6074,149.7645,-33.6399,148.9628,-33.9373,151.0236,-35.2669,148.4838,-35.5705,150.5861
LT05_L1TP_090084_20060821_20161119_01_T1,LT50900842006233ASA00,2006/08/21,T1,2016/11/19, 090, 084,-34.60861,149.80382,-33.6713,149.04288,-33.95772,151.01146,-35.2484,148.57829,-35.54017,150.58317
LE07_L1TP_090084_20060829_20170108_01_T2,LE70900842006241ASA00,2006/08/29,T2,2017/01/08, 090, 084,-34.61588,149.81377,-33.64621,149.01445,-33.94484,151.07472,-35.27289,148.5336,-35.57759,150.63527
LT05_L1GS_090084_20060906_20161119_01_T2,LT50900842006249ASA00,2006/09/06,T2,2016/11/19, 090, 084,-34.60298,149.80047,-33.66568,149.03957,-33.95208,151.00802,-35.24278,148.57503,-35.53453,150.57977
LE07_L1TP_090084_20060914_20170108_01_T1,LE70900842006257ASN00,2006/09/14,T1,2017/01/08, 090, 084,-34.5893,149.7392,-33.6192,148.9399,-33.9168,150.9989,-35.2465,148.4612,-35.5501,150.5616
LT05_L1TP_090084_20060922_20161118_01_T1,LT50900842006265ASA00,2006/09/22,T1,2016/11/18, 090, 084,-34.60533,149.79336,-33.66803,149.03244,-33.95444,151.00095,-35.24513,148.56788,-35.53689,150.57268
LE07_L1TP_090084_20060930_20170106_01_T1,LE70900842006273ASN00,2006/09/30,T1,2017/01/06, 090, 084,-34.5833,149.7318,-33.6151,148.9321,-33.9127,150.9904,-35.2432,148.4532,-35.5469,150.5528
LT05_L1TP_090084_20061008_20161118_01_T1,LT50900842006281ASA00,2006/10/08,T1,2016/11/18, 090, 084,-34.60374,149.78658,-33.66644,149.02567,-33.95285,150.99415,-35.24354,148.56113,-35.5353,150.56589
LE07_L1TP_090084_20061016_20170106_01_T1,LE70900842006289ASA00,2006/10/16,T1,2017/01/06, 090, 084,-34.61189,149.78711,-33.64402,148.98769,-33.94391,151.04662,-35.27152,148.5062,-35.57756,150.60651
